cP1	cP2	cP3	cP4	cP5	cP6
125.991	124.301	140.411	152.298	141.113	140.299
70.3608	55.6388	76.3056	52.5573	88.1877	55.8785
134.792	235.199	583.347	84.3004	114.323	159.365
86.1403	61.9694	65.0399	63.9225	67.4661	60.3619
16.3961	14.7975	11.2172	18.6824	19.6758	12.2075
51.6654	103.02600000000001	72.2638	66.7192	77.1555	90.2686
3.92861	8.77952	17.9181	2.23821	3.14296	3.8999800000000002
72.6032	32.0936	41.6289	33.0909	54.7649	81.5468
1.517	0.0	0.0	0.0	0.0	0.0
20.06	20.6905	19.5184	12.1906	15.5135	19.1173
16.062	13.4989	17.3648	10.1676	19.5128	9.212639999999999
0.0	0.0	0.335117	0.0	0.5878180000000001	0.437641
104.14	160.404	112.728	131.319	193.28799999999998	92.6295
82.5459	93.249	95.0181	109.73299999999999	89.6234	63.2143
0.0	1.8508799999999999	1.6369	0.0	0.0	0.0
39.3835	45.9198	36.7061	39.022	28.0828	47.9357
17.6594	26.3098	24.163	25.7113	10.9883	8.18101
128.746	144.668	136.059	140.735	144.031	160.227
12.6658	5.8787400000000005	8.087489999999999	10.1024	9.62622	6.03527
66.9083	78.9796	77.9865	63.5319	68.3968	81.4762
126.205	111.696	100.26799999999999	110.404	159.593	122.214
145.632	136.127	161.904	150.38299999999998	123.79	178.907
23.2338	23.9641	27.3466	22.2037	22.7847	22.3205
261.247	289.434	336.455	257.46299999999997	314.709	281.475
54.7326	98.0497	68.3203	45.953	65.6807	51.4741
20.9609	14.7407	23.9004	10.8563	26.4876	20.1461
5.15912	0.0	3.1373900000000003	0.0	2.7516	2.04861
33.0359	32.7637	18.5446	37.6425	22.3633	33.2997
272.026	216.59400000000002	252.313	256.078	312.812	253.185
